"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",1.5,2,2,"Genest",0.2228,0.00416125173475482,0.0574596942222203,10000,10000
50,"linear",1.5,2,2,"MIC",0.0939,0.00291689543864706,0.400294239388007,10000,10000
50,"linear",1.5,2,1,"B_n",0.1886,0.00391190541807953,5.94485246814103,10000,10000
50,"linear",1.5,2,1,"P_n",0.1886,0.00391190541807953,5.94068550977506,10000,10000
50,"linear",1.5,2,1,"Hoeffding",0.2191,0.00413636543356604,0.0201597396590458,10000,10000
50,"linear",1.5,2,1,"dCov",0.2401,0.00427143992115071,0.32724446398493,10000,10000
50,"linear",1.5,2,1,"HHG",0.1504,0.00357463061028689,3410.26320341348,10000,10000
50,"linear",1.5,2,1,"Genest",0.2255,0.00417911174772822,0.0572268622222229,10000,10000
50,"linear",1.5,2,1,"MIC",0.095,0.00293214938227915,0.400670020938002,10000,10000
50,"linear",1.6,2,2,"B_n",0.1375,0.00344374432848898,9.45736653799357,10000,10000
50,"linear",1.6,2,2,"P_n",0.1356,0.00342363315791865,9.39695196470566,10000,10000
50,"linear",1.6,2,2,"Hoeffding",0.2046,0.00403409023201019,0.0204196322377239,10000,10000
50,"linear",1.6,2,2,"dCov",0.2187,0.00413364621127643,0.330267306120011,10000,10000
50,"linear",1.6,2,2,"HHG",0.1382,0.00345109779635408,3437.04884760173,10000,10000
50,"linear",1.6,2,2,"Genest",0.2119,0.00408654364958947,0.0573050862222228,10000,10000
50,"linear",1.6,2,2,"MIC",0.0945,0.00292523076012816,0.40179360434944,10000,10000
50,"linear",1.6,2,1,"B_n",0.1568,0.00363612101008754,6.07437922318173,10000,10000
50,"linear",1.6,2,1,"P_n",0.1568,0.00363612101008754,6.06194090376016,10000,10000
50,"linear",1.6,2,1,"Hoeffding",0.1848,0.00388135234164589,0.0210205497555174,10000,10000
50,"linear",1.6,2,1,"dCov",0.1978,0.00398340507606244,0.331588995349032,10000,10000
50,"linear",1.6,2,1,"HHG",0.1224,0.00327747219667841,3449.93005351984,10000,10000
50,"linear",1.6,2,1,"Genest",0.1889,0.00391429163451064,0.058527182222225,10000,10000
50,"linear",1.6,2,1,"MIC",0.0832,0.00276184286301737,0.401820750229988,10000,10000
50,"linear",1.7,2,2,"B_n",0.1164,0.00320703975653561,9.56653752356076,10000,10000
50,"linear",1.7,2,2,"P_n",0.1169,0.00321301089322772,9.47927450218546,10000,10000
50,"linear",1.7,2,2,"Hoeffding",0.1793,0.00383603323760366,0.0206324925900055,10000,10000
50,"linear",1.7,2,2,"dCov",0.1909,0.00393010419709198,0.329583955244382,10000,10000
50,"linear",1.7,2,2,"HHG",0.1223,0.0032763197340919,3471.31101931398,10000,10000
50,"linear",1.7,2,2,"Genest",0.1841,0.00387565723458615,0.0575457422222222,10000,10000
50,"linear",1.7,2,2,"MIC",0.0845,0.00278136207639351,0.401650444023584,10000,10000
50,"linear",1.7,2,1,"B_n",0.1427,0.00349766650783061,6.16592457156673,10000,10000
50,"linear",1.7,2,1,"P_n",0.1427,0.00349766650783061,6.14743898553049,10000,10000
